"fecha_vigencia","precio","provincia","localidad","direccion"
"01/05/2024",1005,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/06/2024",1046,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/06/2024",1046,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/07/2024",1077,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/07/2024",1077,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"02/03/2024",923,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"02/03/2024",923,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"03/01/2024",806,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"03/01/2024",806,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"08/12/2023",460,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"08/12/2023",460,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"13/12/2023",639,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"13/12/2023",639,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/02/2024",858,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/02/2024",858,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/04/2024",966,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/04/2024",966,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/05/2024",1005,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/05/2024",1005,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/06/2024",1046,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/06/2024",1046,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/07/2024",1077,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/07/2024",1077,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"02/03/2024",923,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"02/03/2024",923,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"03/01/2024",806,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"03/01/2024",806,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"08/12/2023",460,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"08/12/2023",460,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"13/12/2023",639,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"13/12/2023",639,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/02/2024",885,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/02/2024",885,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/04/2024",997,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/04/2024",997,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/05/2024",1037,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/05/2024",1037,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/06/2024",1079,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/06/2024",1079,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/07/2024",1111,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/07/2024",1111,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"02/03/2024",952,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"02/03/2024",952,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"03/01/2024",831,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"03/01/2024",831,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"08/12/2023",485,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"08/12/2023",485,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"13/12/2023",659,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"13/12/2023",659,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/02/2024",885,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/02/2024",885,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/04/2024",997,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/04/2024",997,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/05/2024",1037,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/05/2024",1037,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/06/2024",1079,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/06/2024",1079,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/07/2024",1111,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/07/2024",1111,"MISIONES","POSADAS","AV. QUARANTA 6450"
"02/03/2024",952,"MISIONES","POSADAS","AV. QUARANTA 6450"
"02/03/2024",952,"MISIONES","POSADAS","AV. QUARANTA 6450"
"03/01/2024",831,"MISIONES","POSADAS","AV. QUARANTA 6450"
"03/01/2024",831,"MISIONES","POSADAS","AV. QUARANTA 6450"
"08/12/2023",479,"MISIONES","POSADAS","AV. QUARANTA 6450"
"08/12/2023",479,"MISIONES","POSADAS","AV. QUARANTA 6450"
"13/12/2023",659,"MISIONES","POSADAS","AV. QUARANTA 6450"
"13/12/2023",659,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/02/2024",885,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/02/2024",885,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/04/2024",997,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/04/2024",997,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/05/2024",1037,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/05/2024",1037,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/06/2024",1079,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/06/2024",1079,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/07/2024",1111,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/07/2024",1111,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"02/03/2024",952,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"02/03/2024",952,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"03/01/2024",831,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"03/01/2024",831,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"08/12/2023",479,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"08/12/2023",479,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
